nct,interv,int_type,intervn,cnt1_int,cnt2_int_type
NCT00000125,Drug: Topical ocular hypotensive eye drops.,Drug, Topical ocular hypotensive eye drops.,1,1
NCT00000134,Drug: Ganciclovir,Drug, Ganciclovir,2,2
NCT00000134,Drug: Foscarnet,Drug, Foscarnet,2,2
NCT00000135,Drug: MSL-109,Drug, MSL-109,2,1
NCT00000135,Other: Placebo,Other, Placebo,2,1
NCT00000136,Drug: Foscarnet,Drug, Foscarnet,2,2
NCT00000136,Drug: Ganciclovir,Drug, Ganciclovir,2,2
NCT00000142,Drug: Cidofovir,Drug, Cidofovir,1,1
NCT00000371,Drug: D-cycloserine,Drug, D-cycloserine,2,2
NCT00000371,Drug: Placebo,Drug, Placebo,2,2
NCT00000378,Drug: Sertraline,Drug, Sertraline,2,2
NCT00000378,Drug: Nortriptyline,Drug, Nortriptyline,2,2
NCT00000392,Drug: Peptide T,Drug, Peptide T,2,2
NCT00000392,Drug: Placebo,Drug, Placebo,2,2
NCT00000479,Drug: Aspirin,Drug, Aspirin,3,2
NCT00000479,Drug: Vitamin E,Drug, Vitamin E,3,2
NCT00000479,Behavioral: Placebo,Behavioral, Placebo,3,1
NCT00000575,Drug: Placebo,Drug, Placebo,3,3
NCT00000575,Drug: Nedocromil,Drug, Nedocromil,3,3
NCT00000575,Drug: Budesonide,Drug, Budesonide,3,3
NCT00000620,Drug: Anti-hyperglycemic Agents,Drug, Anti-hyperglycemic Agents,3,3
NCT00000620,Drug: Anti-hypertensive Agents,Drug, Anti-hypertensive Agents,3,3
NCT00000620,Drug: Blinded fenofibrate or placebo plus simvastatin,Drug, Blinded fenofibrate or placebo plus simvastatin,3,3
NCT00001151,"Drug: 1,25-Dihydroxycholecalciferol",Drug," 1,25-Dihydroxycholecalciferol",1,1
NCT00001213,Drug: Cysteamine,Drug, Cysteamine,1,1
NCT00001262,Drug: Copper Histidine,Drug, Copper Histidine,1,1
NCT00001304,Drug: Synthetic Human Parathyroid Hormone 1-34,Drug, Synthetic Human Parathyroid Hormone 1-34,2,2
NCT00001304,Drug: Calcitriol & Calcium,Drug, Calcitriol & Calcium,2,2
NCT00001566,Biological: therapeutic autologous dendritic cells,Biological, therapeutic autologous dendritic cells,3,1
NCT00001566,Drug: indinavir sulfate,Drug, indinavir sulfate,3,1
NCT00001566,Procedure: peripheral blood stem cell transplantation,Procedure, peripheral blood stem cell transplantation,3,1
NCT00001575,Biological: Y-90 Humanized Anti-Tac,Biological, Y-90 Humanized Anti-Tac,2,1
NCT00001575,Drug: Calcium-DTPA,Drug, Calcium-DTPA,2,1
NCT00001586,Biological: Rituximab,Biological, Rituximab,3,1
NCT00001586,Drug: Fludarabine phosphate,Drug, Fludarabine phosphate,3,1
NCT00001586,Other: Leukemic or stroma cells,Other, Leukemic or stroma cells,3,1
NCT00001596,Drug: Pirfenidone,Drug, Pirfenidone,2,2
NCT00001596,Drug: Placebo,Drug, Placebo,2,2
NCT00001656,Drug: Olanzapine,Drug, Olanzapine,2,2
NCT00001656,Drug: Clozapine,Drug, Clozapine,2,2
NCT00001723,Drug: Orlistat,Drug, Orlistat,2,2
NCT00001723,Drug: Placebo,Drug, Placebo,2,2
NCT00001832,Drug: gp100:209-217 (210M),Drug, gp100:209-217 (210M),9,6
NCT00001832,Drug: Montanide ISA-51,Drug, Montanide ISA-51,9,6
NCT00001832,Drug: IL-2,Drug, IL-2,9,6
NCT00001832,Drug: MART-1:26-35(27L),Drug, MART-1:26-35(27L),9,6
NCT00001832,Biological: Abl cells,Biological, Abl cells,9,2
NCT00001832,Drug: Fludarabine,Drug, Fludarabine,9,6
NCT00001832,Drug: Cyclophosphamide,Drug, Cyclophosphamide,9,6
NCT00001832,Biological: GCSF (Growth colony stimulating factor),Biological, GCSF (Growth colony stimulating factor),9,2
NCT00001832,Procedure: Apheresis,Procedure, Apheresis,9,1
NCT00001959,Drug: Pirfenidone,Drug, Pirfenidone,1,1
NCT00001962,Drug: Daclizumab,Drug, Daclizumab,1,1
